"","Date","Session","Pseudo","Treatment","TotalScore","Flight","Bonus","Mine","Fortress","Day","Zscore","Zscore_Flight","Zscore_Bonus","Zscore_Mine","Zscore_Fortress"
"result.359","2019-11-14 17:18:43","D04P2","ME1301",2,3545,-2355,1800,2350,1750,"D04",-0.637648194637818,-0.984463552191766,0.36472685802063,-0.0511031922520772,-0.659647022168855
"result.360","2019-11-15 17:37:47","D05P1","ME1301",2,840,-4300,600,2540,2000,"D05",-1.21779445702674,-2.69628471229462,-1.0675473755046,0.106861498823588,-0.581067362132004
"result.361","2019-11-15 17:48:16","D05P2","ME1301",2,2245,-4345,1800,2290,2500,"D05",-0.916461555490165,-2.73588982910934,0.36472685802063,-0.10098677890755,-0.423908042058302
"result.362","2019-11-26 15:26:07","D14P1","ME1301",2,2215,-2665,150,2480,2250,"D14",-0.922895709971373,-1.25729880135983,-1.60465021307656,0.0569779121681146,-0.502487702095153
"result.363","2019-11-26 15:37:44","D14P2","ME1301",2,3560,-2630,1300,2390,2500,"D14",-0.634431117397213,-1.22649482161505,-0.232054072614884,-0.0178474678150951,-0.423908042058302
"result.364","2018-06-04 15:21:39","D01P1","MM0301",2,-3470,-4180,600,-140,250,"D01",-2.14216798416029,-2.59067106745537,-1.0675473755046,-2.12127203845421,-1.13112498238996
"result.365","2018-06-05 10:33:16","D02P1","MM0301",2,-3180,-5040,350,1010,500,"D02",-2.07997115750861,-3.34756885547,-1.36593784082236,-1.16516996089098,-1.05254532235311
"result.366","2018-06-05 10:33:16","D02P2","MM0301",2,-2245,-4915,400,1520,750,"D02",-1.87944000951096,-3.23755464209578,-1.30625974775881,-0.741159474319456,-0.973965662316259
"result.367","2018-06-06 10:38:35","D03P1","MM0301",2,-1015,-3735,650,1070,1000,"D03",-1.61563967578144,-2.19902046784315,-1.00786928244105,-1.1152863742355,-0.895386002279408
"result.368","2018-06-06 10:38:35","D03P2","MM0301",2,2650,-2200,1300,2050,1500,"D03",-0.829600469993857,-0.848045927607734,-0.232054072614884,-0.300521125529443,-0.738226682205706
"result.369","2018-06-07 10:33:20","D04P1","MM0301",2,1280,-3420,1000,1700,2000,"D04",-1.12342685796902,-1.92178465014012,-0.590122630996192,-0.591508714353036,-0.581067362132004
"result.370","2018-06-07 10:33:20","D04P2","MM0301",2,3040,-2640,1600,2080,2000,"D04",-0.745956461738152,-1.23529595868499,0.126014485766424,-0.275579332201706,-0.581067362132004
"result.371","2018-06-08 10:36:08","D05P1","MM0301",2,3100,-2420,1700,1820,2000,"D05",-0.733088152775736,-1.04167094314636,0.245370671893527,-0.49174154104209,-0.581067362132004
"result.372","2018-06-08 10:36:08","D05P2","MM0301",2,5415,-1565,1700,3030,2250,"D05",-0.236585898642518,-0.289173723666699,0.245370671893527,0.514244123176618,-0.502487702095153
"result.373","2018-06-20 09:14:50","D14P1","MM0301",2,960,-3560,900,2120,1500,"D14",-1.19205783910191,-2.04500056911924,-0.709478817123295,-0.242323607764724,-0.738226682205706
"result.374","2018-06-20 09:14:50","D14P2","MM0301",2,1590,-2960,700,2350,1500,"D14",-1.05694059499654,-1.51693234492299,-0.9481911893775,-0.0511031922520772,-0.738226682205706
"result.375","2019-09-30 12:55:07","D01P1","NB1309",2,2485,-1615,300,2800,1000,"D01",-0.8649883196405,-0.333179409016386,-1.42561593388591,0.323023707663971,-0.895386002279408
"result.376","2019-10-01 11:47:38","D02P1","NB1309",2,3990,-590,800,2530,1250,"D02",-0.542208236499899,0.568937140652214,-0.828835003250397,0.0985475677143422,-0.816806342242557
"result.377","2019-10-01 12:03:25","D02P2","NB1309",2,4740,-900,1150,2740,1750,"D02",-0.381354374469698,0.296101891484149,-0.411088351805538,0.273140121008498,-0.659647022168855
"result.378","2019-10-02 12:41:12","D03P1","NB1309",2,6155,-435,1450,2640,2500,"D03",-0.0778767547727205,0.705354765236246,-0.0530197934242296,0.190000809916043,-0.423908042058302
"result.379","2019-10-02 12:53:22","D03P2","NB1309",2,7860,-750,2600,3260,2750,"D03",0.287797691575935,0.428118947533213,1.31957634703745,0.705464538689266,-0.345328382021451
"result.380","2019-10-03 12:20:59","D04P1","NB1309",2,8590,-450,1550,3490,4000,"D04",0.44436211728533,0.69215305963134,0.0663363927028731,0.896684954201913,0.0475699181628045
"result.381","2019-10-03 12:34:19","D04P2","NB1309",2,9440,-750,2050,3390,4750,"D04",0.626663160919557,0.428118947533213,0.663117323338387,0.813545643109457,0.283308898273358
"result.382","2019-10-04 12:45:19","D05P1","NB1309",2,10330,-600,2900,3530,4500,"D05",0.817543077195394,0.560136003582276,1.67764490541876,0.929940678638895,0.204729238236507
"result.383","2019-10-04 12:57:19","D05P2","NB1309",2,10110,-950,2400,3660,5000,"D05",0.770359277666536,0.252096206134461,1.08086397478325,1.03802178305909,0.361888558310209
"result.384","2019-10-15 11:56:48","D14P1","NB1309",2,10530,-1000,1550,2980,7000,"D14",0.860437440403448,0.208090520784774,0.0663363927028731,0.472674467630391,0.990525838605017
"result.385","2019-10-15 12:12:26","D14P2","NB1309",2,13510,-1050,2800,3260,8500,"D14",1.49956345220344,0.164084835435086,1.55828871929166,0.705464538689266,1.46200379882612
"result.386","2019-11-11 17:41:43","D01P1","PC2104",1,2405,-1795,1200,2000,1000,"D01",-0.882146064923722,-0.491599876275262,-0.351410258741986,-0.342090781075671,-0.895386002279408
"result.387","2019-11-12 17:22:38","D02P1","PC2104",1,3655,-1075,800,2680,1250,"D02",-0.614056294873388,0.142081992760242,-0.828835003250397,0.223256534353025,-0.816806342242557
"result.388","2019-11-12 17:35:00","D02P2","PC2104",1,5090,-820,1400,2760,1750,"D02",-0.306289238855605,0.36651098804365,-0.112697886487781,0.289767983226989,-0.659647022168855
"result.389","2019-11-13 17:07:07","D03P1","PC2104",1,5720,-520,1400,3090,1750,"D03",-0.171171994750237,0.630545100141777,-0.112697886487781,0.564127709832092,-0.659647022168855
"result.390","2019-11-13 17:19:29","D03P2","PC2104",1,5250,-1090,1050,3040,2250,"D03",-0.271973748289162,0.128880287155336,-0.53044453793264,0.522558054285864,-0.502487702095153
"result.391","2019-11-14 17:40:25","D04P1","PC2104",1,6780,-450,1300,3430,2500,"D04",0.0561681302524464,0.69215305963134,-0.232054072614884,0.846801367546439,-0.423908042058302
"result.392","2019-11-14 17:52:30","D04P2","PC2104",1,6650,-770,1450,3220,2750,"D04",0.0282867941672117,0.410516673393338,-0.0530197934242296,0.672208814252283,-0.345328382021451
"result.393","2019-11-15 17:09:30","D05P1","PC2104",1,5475,-1285,1700,2560,2500,"D05",-0.223717589680102,-0.0427418857084469,0.245370671893527,0.123489361042079,-0.423908042058302
"result.394","2019-11-15 17:19:55","D05P2","PC2104",1,6965,-685,1000,3150,3500,"D05",0.0958454162198958,0.485326338487807,-0.590122630996192,0.614011296487565,-0.109589401910898
"result.395","2019-11-25 17:06:35","D14P1","PC2104",1,7560,-650,1350,3360,3500,"D14",0.223456146763855,0.516130318232588,-0.172375979551332,0.788603849781721,-0.109589401910898
"result.396","2019-11-25 17:18:22","D14P2","PC2104",1,8300,-450,1500,3250,4000,"D14",0.382165290633652,0.69215305963134,0.00665829963932174,0.69715060758002,0.0475699181628045
"result.397","2019-09-30 19:23:03","D01P1","RC1907",2,2195,-1525,1250,470,2000,"D01",-0.927185146292178,-0.253969175386948,-0.291732165678435,-1.61412224079024,-0.581067362132004
"result.398","2019-10-01 19:26:02","D02P1","RC1907",2,4230,-1970,1350,2100,2750,"D02",-0.490735000650235,-0.64561977499917,-0.172375979551332,-0.258951469983215,-0.345328382021451
"result.399","2019-10-01 19:39:54","D02P2","RC1907",2,6650,-1390,1650,2640,3750,"D02",0.0282867941672117,-0.135153824942791,0.185692578829976,0.190000809916043,-0.0310097418740465
"result.400","2019-10-02 17:42:41","D03P1","RC1907",2,8905,-1455,2500,2860,5000,"D03",0.511920739338014,-0.192361215897385,1.20022016091035,0.372907294319445,0.361888558310209
