Time;Channel 1;Channel 2
73,8;13,9683523;7,684617338
73,9;14,15832349;7,873943111
74;14,35798882;8,07212826
74,1;14,5669732;8,278797171
74,2;14,78486027;8,493539766
74,3;15,01119362;8,715912576
74,4;15,24547807;8,945439907
74,5;15,48718113;9,181615111
74,6;15,73573455;9,423901953
74,7;15,99053596;9,671736059
74,8;16,25095063;9,924526459
74,9;16,51631337;10,1816572
75;16,78593042;10,44248906
75,1;17,05908152;10,70636127
75,2;17,33502203;10,97259337
75,3;17,61298506;11,24048709
75,4;17,89218375;11,50932829
75,5;18,17181357;11,77838892
75,6;18,45105465;12,04692908
75,7;18,72907419;12,31419906
75,8;19,00502884;12,57944143
75,9;19,27806721;12,84189316
76;19,54733225;13,10078772
76,1;19,81196382;13,35535725
76,2;20,0711011;13,60483469
76,3;20,32388509;13,84845589
76,4;20,56946109;14,08546179
76,5;20,80698116;14,3151005
76,6;21,03560654;14,53662943
76,7;21,25451008;14,74931731
76,8;21,46287854;14,95244633
76,9;21,65991501;15,14531403
77;21,84484108;15,32723535
77,1;22,01689912;15,4975445
77,2;22,1753544;15,6555968
77,3;22,31949714;15,80077055
77,4;22,44864458;15,93246867
77,5;22,56214282;16,05012043
77,6;22,65936867;16,153183
77,7;22,73973141;16,24114297
77,8;22,80267437;16,31351774
77,9;22,84767646;16,36985687
78;22,87425358;16,40974329
78,1;22,88195992;16,43279445
78,2;22,87038913;16,43866331
78,3;22,83917536;16,42703929
78,4;22,78799422;16,39764908
78,5;22,71656357;16,35025733
78,6;22,62464419;16,28466726
78,7;22,51204034;16,20072112
78,8;22,37860018;16,09830054
78,9;22,22421607;15,97732679
79;22,0488247;15,83776091
79,1;21,85240714;15,67960367
79,2;21,63498872;15,50289553
79,3;21,39663885;15,30771636
79,4;21,13747066;15,09418515
79,5;20,85764051;14,86245953
79,6;20,55734748;14,61273523
79,7;20,23683259;14,34524544
79,8;19,8963781;14,06026003
79,9;19,53630653;13,75808466
80;19,15697965;13,43905988
80,1;18,75879742;13,10356003
80,2;18,34219677;12,75199214
80,3;17,90765029;12,38479468
80,4;17,4556649;12,00243628
80,5;16,98678041;11,60541434
80,6;16,50156799;11,19425363
80,7;16,00062858;10,76950479
80,8;15,48459134;10,33174273
80,9;14,95411186;9,881565104
81;14,40987052;9,4195906
81,1;13,85257067;8,946457307
81,2;13,28293685;8,462820989
81,3;12,70171302;7,969353363
81,4;12,10966065;7,466740354
81,5;11,50755693;6,95568034
81,6;10,89619291;6,436882405
81,7;10,27637167;5,911064581
81,8;9,648906441;5,378952107
81,9;9,01461884;4,841275702
82;8,374337023;4,298769864
82,1;7,728893922;3,752171186
82,2;7,079125502;3,202216715
82,3;6,42586905;2,649642353
82,4;5,769961514;2,095181288
82,5;5,112237888;1,539562496
82,6;4,453529646;0,983509277
82,7;3,794663235;0,427737864
82,8;3,136458623;-0,127043919
82,9;2,479727902;-0,680137929
83;1,825273964;-1,230856908
83,1;1,173889232;-1,778525625
83,2;0,526354463;-2,322481937
83,3;-0,116562378;-2,862077779
83,4;-0,754107174;-3,396680084
83,5;-1,385540641;-3,925671612
